warrior_id,type_id,slot
1,1,1
2,1,1
3,13,2
3,16,1
4,1,1
4,16,2
5,2,2
5,10,1
6,11,1
7,13,1
8,12,1
9,3,2
9,15,1
10,2,1
11,3,2
11,4,1
12,5,1
12,6,2
13,3,1
14,2,2
14,14,1
15,7,1
15,9,2
16,6,1
17,8,1
17,16,2
18,17,1
19,6,2
19,9,1
20,10,2
20,13,1
21,8,1
21,10,2
22,1,2
22,3,1
23,14,1
23,15,2
24,4,2
24,8,1
25,15,2
25,17,1
26,3,2
26,10,1
27,3,2
27,12,1
28,14,1
29,8,2
29,15,1
30,6,2
30,10,1
31,7,1
31,10,2
32,2,1
32,9,2
33,9,1
33,16,2
34,9,2
34,11,1
35,2,2
35,6,1
36,9,1
36,17,2
37,5,2
37,16,1
38,5,1
38,17,2
39,1,1
40,17,1
41,1,2
41,5,1
42,1,2
42,2,1
43,1,1
44,1,2
44,12,1
45,1,1
46,1,2
46,11,1
47,1,1
48,11,1
48,16,2
49,16,1
50,11,1
50,16,2
51,12,1
51,16,2
52,16,1
53,9,1
53,16,2
54,12,1
54,16,2
55,16,1
56,2,1
56,16,2
57,16,1
58,16,1
59,10,1
60,2,1
60,10,2
61,3,1
61,10,2
62,10,2
62,14,1
63,1,1
63,10,2
64,10,2
64,12,1
65,10,1
66,5,1
66,10,2
67,10,1
68,10,1
69,10,1
70,7,1
70,10,2
71,5,1
71,10,2
72,10,1
73,8,1
73,10,2
74,1,1
75,9,1
75,10,2
76,11,1
77,11,1
78,11,1
79,11,1
80,11,2
80,13,1
81,11,2
81,13,1
82,11,2
82,13,1
83,13,1
84,13,1
85,13,2
85,17,1
86,13,1
87,13,1
88,13,1
89,13,1
90,12,2
90,16,1
91,12,1
92,12,1
93,11,1
93,12,2
94,12,1
95,12,1
96,12,1
97,15,1
98,15,1
99,15,1
100,15,1
101,15,1
102,14,1
102,15,2
103,14,1
103,15,2
104,15,1
105,2,1
106,2,1
107,2,1
108,2,1
109,2,1
110,2,1
111,2,2
111,10,1
112,4,1
113,4,1
114,4,1
115,4,1
116,4,1
117,5,2
117,6,1
118,3,1
118,5,2
119,5,2
119,10,1
120,5,1
121,5,1
122,5,2
122,10,1
123,5,2
123,10,1
124,5,1
125,5,2
125,17,1
126,5,2
126,10,1
127,3,2
127,16,1
128,3,2
128,7,1
129,3,2
129,15,1
130,3,1
131,3,2
131,16,1
132,3,1
133,3,1
134,3,1
135,14,1
136,14,2
136,15,1
137,14,1
138,6,1
138,14,2
139,14,2
139,17,1
140,14,1
141,12,1
141,14,2
142,14,1
143,14,1
144,14,1
145,7,1
146,7,1
147,7,2
147,15,1
148,7,1
149,7,1
150,7,1
151,7,1
152,7,1
153,6,1
154,2,1
154,6,2
155,6,1
156,6,1
157,6,1
158,6,1
159,6,1
160,6,1
161,6,1
162,4,1
162,8,2
163,4,1
163,8,2
164,8,2
164,9,1
165,8,1
166,8,1
167,4,1
167,8,2
168,4,1
168,8,2
169,17,1
170,3,1
170,17,2
171,3,1
171,17,2
172,4,1
172,17,2
173,17,1
174,9,1
175,9,2
175,10,1
176,9,2
176,16,1
177,8,1
177,10,2
178,9,1
179,9,1
180,1,1
180,9,2
181,8,1
181,9,2
182,7,1
182,9,2
183,7,1
183,9,2
184,9,1
185,8,1
185,10,2
186,3,1
186,10,2
187,9,1
188,10,1
189,8,1
190,14,1
191,8,1
191,10,2
192,7,1
192,10,2
193,2,1
193,10,2
194,2,1
195,9,1
196,12,1
196,16,2
197,17,1
198,9,2
198,14,1
199,9,1
200,9,1
201,3,1
