move_id,move_flag_id
1,1
1,4
1,7
2,1
2,4
2,7
3,1
3,4
3,7
4,1
4,4
4,7
4,8
5,1
5,4
5,7
5,8
6,4
6,7
7,1
7,4
7,7
7,8
8,1
8,4
8,7
8,8
9,1
9,4
9,7
9,8
10,1
10,4
10,7
11,1
11,4
11,7
12,1
12,4
12,7
13,2
13,4
13,7
14,6
14,21
15,1
15,4
15,7
16,4
16,7
16,12
17,1
17,4
17,7
17,12
18,5
18,7
18,14
19,1
19,2
19,4
19,7
19,10
19,12
20,1
20,4
20,7
21,1
21,4
21,7
21,20
22,1
22,4
22,7
23,1
23,4
23,7
23,20
24,1
24,4
24,7
25,1
25,4
25,7
26,1
26,4
26,7
26,10
27,1
27,4
27,7
28,4
28,5
28,7
29,1
29,4
29,7
30,1
30,4
30,7
31,1
31,4
31,7
32,1
32,4
32,7
33,1
33,4
33,7
34,1
34,4
34,7
34,20
35,1
35,4
35,7
36,1
36,4
36,7
37,1
37,4
37,7
38,1
38,4
38,7
39,4
39,5
39,7
40,4
40,7
41,4
41,7
42,4
42,7
43,4
43,5
43,7
44,1
44,4
44,7
44,16
45,4
45,5
45,7
45,9
45,14
46,5
46,7
46,9
46,14
47,4
47,5
47,7
47,9
47,14
48,4
48,5
48,7
48,9
48,14
49,4
49,7
50,4
50,5
50,7
50,14
50,19
51,4
51,7
52,4
52,7
53,4
53,7
54,6
55,4
55,7
56,4
56,7
57,4
57,7
57,20
58,4
58,7
59,4
59,7
60,4
60,7
61,4
61,7
62,4
62,7
63,3
63,4
63,7
64,1
64,4
64,7
64,12
65,1
65,4
65,7
65,12
66,1
66,4
66,7
67,1
67,4
67,7
68,1
68,4
69,1
69,4
69,7
69,20
70,1
70,4
70,7
71,4
71,7
71,13
72,4
72,7
72,13
73,4
73,5
73,7
74,6
75,4
75,7
76,2
76,4
76,7
77,4
77,5
77,7
77,15
78,4
78,5
78,7
78,15
79,4
79,5
79,7
79,15
80,1
80,4
80,7
80,21
81,4
81,5
81,7
82,4
82,7
83,4
83,7
84,4
84,7
85,4
85,7
86,4
86,5
86,7
87,4
87,7
88,4
88,7
89,4
89,7
89,20
90,4
90,7
90,20
91,1
91,2
91,4
91,7
91,20
92,4
92,5
92,7
93,4
93,7
94,4
94,7
95,4
95,5
95,7
96,6
97,6
98,1
98,4
98,7
99,1
99,4
99,7
101,4
101,7
102,4
102,14
103,4
103,5
103,7
103,9
103,14
104,6
105,6
105,13
106,6
107,6
108,4
108,5
108,7
109,4
109,5
109,7
110,6
111,6
112,6
113,6
114,14
115,6
116,6
117,1
117,4
120,4
120,7
121,4
121,7
121,18
122,1
122,4
122,7
123,4
123,7
124,4
124,7
125,4
125,7
126,4
126,7
127,1
127,4
127,7
128,1
128,4
128,7
129,4
129,7
130,1
130,2
130,4
130,7
131,4
131,7
132,1
132,4
132,7
133,6
134,4
134,5
134,7
135,6
135,13
136,1
136,4
136,7
136,10
137,4
137,5
137,7
138,4
138,7
138,13
139,4
139,5
139,7
140,4
140,7
140,18
141,1
141,4
141,7
141,13
142,4
142,5
142,7
143,2
143,4
143,7
143,12
145,4
145,7
146,1
146,4
146,7
146,8
147,4
147,5
147,7
147,15
148,4
148,5
148,7
149,4
149,7
150,10
151,6
152,1
152,4
152,7
153,4
153,7
154,1
154,4
154,7
155,4
155,7
156,6
156,13
157,4
157,7
158,1
158,4
158,7
158,16
159,6
160,6
161,4
161,7
162,1
162,4
162,7
163,1
163,4
163,7
164,6
164,20
165,1
165,4
166,14
167,1
167,4
167,7
168,1
168,4
168,7
169,4
169,5
169,7
170,4
170,7
171,4
171,7
172,1
172,4
172,7
172,11
173,4
173,7
173,9
173,14
174,14
175,1
175,4
175,7
176,14
177,4
177,7
177,12
178,4
178,5
178,7
178,15
179,1
179,4
179,7
180,4
180,5
180,7
180,14
181,4
181,7
183,1
183,4
183,7
183,8
184,4
184,5
184,7
185,1
185,4
185,7
186,4
186,5
186,7
187,6
188,4
188,7
188,18
189,4
189,7
190,4
190,7
190,18
191,5
191,20
192,4
192,7
192,18
193,4
193,5
193,7
193,14
194,14
195,9
195,12
195,14
196,4
196,7
198,4
198,7
199,4
199,7
200,1
200,4
200,7
202,4
202,7
202,13
204,4
204,5
204,7
205,1
205,4
205,7
206,1
206,4
206,7
207,4
207,5
207,7
208,6
208,13
209,1
209,4
209,7
210,1
210,4
210,7
211,1
211,4
211,7
212,5
212,7
213,4
213,5
213,7
213,14
213,19
215,6
215,9
215,12
215,14
216,1
216,4
216,7
217,4
217,7
218,1
218,4
218,7
219,6
220,4
220,7
221,4
221,7
221,11
222,4
222,7
222,20
223,1
223,4
223,7
223,8
224,1
224,4
224,7
225,4
225,7
227,4
227,5
227,7
227,14
227,19
228,1
228,4
228,7
229,1
229,4
229,7
230,4
230,5
230,7
231,1
231,4
231,7
232,1
232,4
232,7
233,1
233,4
233,7
234,6
234,13
235,6
235,13
236,6
236,13
237,4
237,7
238,1
238,4
238,7
239,4
239,7
242,1
242,4
242,7
242,16
243,4
244,14
245,1
245,4
245,7
246,4
246,7
247,4
247,7
247,18
249,1
249,4
249,7
250,4
250,7
251,4
251,7
252,1
252,4
252,7
253,4
253,7
253,9
253,14
254,6
255,4
256,6
256,13
257,4
257,7
259,4
259,5
259,7
259,14
259,19
260,4
260,5
260,7
261,4
261,5
261,7
262,4
262,7
263,1
263,4
263,7
264,1
264,4
264,8
265,1
265,4
265,7
268,6
269,4
269,5
269,7
269,14
269,19
270,14
271,4
271,7
272,14
273,6
273,13
275,6
275,20
276,1
276,4
276,7
278,6
279,1
279,4
279,7
280,1
280,4
280,7
281,4
281,5
281,7
282,1
282,4
282,7
283,1
283,4
283,7
284,4
284,7
285,4
285,7
285,14
286,6
286,14
287,6
288,14
289,14
290,4
290,7
291,1
291,2
291,4
291,7
291,20
292,1
292,4
292,7
293,6
294,6
295,4
295,7
296,4
296,7
296,18
297,4
297,5
297,7
297,21
298,4
298,7
298,21
299,1
299,4
299,7
300,20
301,1
301,4
301,7
301,18
302,1
302,4
302,7
303,6
303,13
304,4
304,7
304,9
304,14
305,1
305,4
305,7
305,16
306,1
306,4
306,7
307,3
307,4
307,7
308,3
308,4
308,7
309,1
309,4
309,7
309,8
310,1
310,4
310,7
311,4
311,7
311,18
312,6
312,12
313,4
313,5
313,7
314,4
314,7
315,4
315,7
316,4
316,5
316,7
316,14
317,4
317,7
318,4
318,7
319,4
319,5
319,7
319,9
319,14
320,4
320,5
320,7
320,9
320,14
321,4
321,5
321,7
322,6
323,4
323,7
324,4
324,7
325,1
325,4
325,7
325,8
326,4
326,7
327,1
327,4
327,7
327,8
328,4
328,7
329,4
329,7
330,4
330,7
330,20
331,4
331,7
331,18
332,1
332,4
332,7
332,12
333,4
333,7
334,6
335,5
335,7
336,6
336,9
337,1
337,4
337,7
338,3
338,4
338,7
338,20
339,6
340,1
340,2
340,4
340,7
340,10
340,12
341,4
341,7
342,1
342,4
342,7
343,1
343,4
343,7
344,1
344,4
344,7
345,4
345,7
346,20
347,6
348,1
348,4
348,7
349,6
349,21
350,4
350,7
350,18
351,4
351,7
352,4
352,7
352,12
352,17
354,4
354,7
355,6
355,13
356,20
357,4
357,5
357,7
357,14
358,1
358,4
358,7
359,1
359,4
359,7
359,8
360,1
360,4
360,7
360,18
361,6
361,13
362,4
362,7
363,4
363,7
364,7
365,1
365,4
365,7
365,12
366,6
368,4
368,7
369,1
369,4
369,7
370,1
370,4
370,7
371,1
371,4
371,7
372,1
372,4
372,7
373,4
373,5
373,7
374,4
374,7
375,4
375,7
376,1
376,4
376,7
377,4
377,5
377,7
377,19
378,1
378,4
378,7
379,6
380,4
380,5
380,7
381,6
382,4
382,14
384,4
384,7
384,14
385,4
385,7
385,14
386,1
386,4
386,7
387,1
387,4
387,7
388,4
388,5
388,7
389,1
389,4
389,7
390,5
390,20
391,4
391,7
391,14
392,6
393,6
393,10
394,1
394,4
394,7
394,11
395,1
395,4
395,7
396,4
396,7
396,12
396,17
396,18
397,6
398,1
398,4
398,7
399,4
399,7
399,12
399,17
400,1
400,4
400,7
401,1
401,4
401,7
402,4
402,7
402,18
403,4
403,7
403,12
404,1
404,4
404,7
405,4
405,7
405,9
405,14
406,4
406,7
406,12
406,17
407,1
407,4
407,7
408,4
408,7
409,1
409,4
409,7
409,8
409,13
410,4
410,7
411,4
411,7
411,18
412,4
412,7
412,18
413,1
413,4
413,7
413,12
414,4
414,7
414,20
415,4
415,7
416,1
416,3
416,4
416,7
417,6
418,1
418,4
418,7
418,8
419,1
419,4
419,7
420,4
420,7
421,1
421,4
421,7
422,1
422,4
422,7
422,16
423,1
423,4
423,7
423,16
424,1
424,4
424,7
424,16
425,1
425,4
425,7
426,4
426,7
426,18
427,4
427,7
428,1
428,4
428,7
429,4
429,7
430,4
430,7
431,1
431,4
431,7
432,4
432,5
432,7
432,14
433,7
434,4
434,7
435,4
435,7
436,4
436,7
437,4
437,7
438,1
438,4
438,7
439,3
439,4
439,7
439,18
440,1
440,4
440,7
441,4
441,7
442,1
442,4
442,7
443,4
443,7
443,18
444,4
444,7
445,4
445,5
445,7
446,5
447,1
447,4
447,7
447,20
448,4
448,7
448,9
448,12
448,14
449,4
449,7
450,1
450,4
450,7
451,4
451,7
452,1
452,4
452,7
453,1
453,4
453,7
454,4
454,7
455,6
456,6
456,13
457,1
457,4
457,7
458,1
458,4
458,7
459,3
459,4
459,7
460,4
460,7
461,6
461,13
461,21
462,1
462,4
462,7
463,4
463,7
464,4
464,5
464,7
465,4
465,7
466,4
466,7
467,1
467,2
467,7
468,6
469,6
470,4
471,4
472,7
473,4
473,7
474,4
474,7
475,6
476,15
477,4
477,5
477,7
477,10
478,7
479,4
479,7
479,20
480,1
480,4
480,7
481,4
481,7
482,4
482,7
483,6
483,21
484,1
484,4
484,7
484,20
485,4
485,7
486,4
486,7
486,18
487,4
487,5
487,7
488,1
488,4
488,7
489,6
490,1
490,4
490,7
491,4
491,7
491,18
492,1
492,4
492,7
493,4
493,5
493,7
494,4
494,5
494,7
495,14
496,4
496,7
496,9
496,14
497,4
497,7
497,9
497,14
498,1
498,4
498,7
499,4
499,7
500,4
500,7
501,6
503,4
503,7
503,11
504,6
505,4
505,5
505,12
505,13
505,17
506,4
506,7
507,1
507,2
507,4
507,7
507,10
507,12
508,6
509,1
509,4
509,7
510,4
510,7
511,4
511,7
512,1
512,4
512,7
512,12
513,4
513,14
514,1
514,4
514,7
515,4
516,7
516,14
517,4
517,7
518,4
518,7
518,20
519,4
519,7
519,20
520,4
520,7
520,20
521,4
521,7
522,4
522,7
523,4
523,7
523,20
524,4
524,7
525,1
525,4
525,7
526,6
527,4
527,7
528,1
528,4
528,7
529,1
529,4
529,7
530,1
530,4
530,7
531,1
531,4
531,7
532,1
532,4
532,7
532,13
533,1
533,4
533,7
534,1
534,4
534,7
535,1
535,4
535,7
535,20
536,4
536,7
537,1
537,4
537,7
538,6
539,4
539,7
540,4
540,7
541,1
541,4
541,7
542,4
542,7
542,12
543,1
543,4
543,7
544,1
544,4
544,7
545,4
545,7
545,18
546,4
546,7
547,4
547,7
547,9
547,14
548,4
548,7
549,4
549,7
550,1
550,4
550,7
551,4
551,7
552,4
552,7
552,21
553,2
553,4
553,7
554,2
554,4
554,7
555,4
555,7
555,9
555,14
556,4
556,7
557,1
557,4
557,7
558,4
558,7
558,11
559,4
559,7
560,1
560,4
560,7
560,10
560,12
560,20
561,6
561,20
562,4
563,12
563,20
564,5
565,1
565,4
565,7
566,1
566,2
566,7
567,4
567,5
567,7
568,4
568,5
568,7
568,9
568,14
570,4
570,7
570,13
571,4
571,5
571,7
572,4
572,7
573,4
573,7
574,4
574,7
574,9
574,14
575,4
575,5
575,7
575,9
575,14
576,4
576,5
576,7
577,1
577,4
577,7
577,13
579,12
580,20
581,20
582,4
582,7
583,1
583,4
583,7
584,4
584,7
585,4
585,7
586,4
586,7
586,9
586,14
587,7
587,14
589,5
589,7
589,14
590,5
590,7
590,9
590,14
591,4
591,7
592,4
592,7
592,11
593,7
593,14
594,4
594,7
595,4
595,7
597,14
598,4
598,5
598,7
599,4
599,5
599,7
600,4
600,5
600,7
600,14
600,15
601,2
601,20
602,6
602,12
602,14
604,20
605,4
605,7
607,14
608,4
608,5
608,7
609,1
609,4
609,7
610,1
610,4
610,7
611,1
611,4
611,7
612,1
612,4
612,7
612,8
613,4
613,7
613,12
613,13
614,4
614,7
614,20
615,4
615,7
615,20
616,4
616,7
616,20
617,4
617,7
618,4
618,7
618,17
619,4
619,7
619,20
620,1
620,4
620,7
620,12
621,7
621,14
658,1
659,6
659,13
660,1
660,4
660,7
662,4
662,7
663,1
663,4
663,7
664,4
664,7
664,9
664,14
665,1
665,4
665,7
665,8
666,4
666,5
666,13
667,1
667,4
667,7
668,4
668,5
668,7
668,13
669,1
669,2
669,4
669,7
670,4
670,7
671,4
671,5
672,4
672,5
672,7
673,6
674,6
674,14
675,1
675,4
675,7
676,4
676,7
676,18
677,1
677,4
677,7
678,20
679,1
679,4
679,7
680,1
680,4
680,7
681,1
681,4
681,7
682,4
682,7
682,11
683,4
683,7
683,14
684,1
684,4
684,7
685,4
685,5
685,13
686,4
686,7
686,21
687,4
687,7
688,1
688,4
688,7
689,4
689,14
690,4
690,18
691,4
691,7
691,9
691,14
692,1
692,4
692,7
693,1
693,4
693,7
694,6
696,1
699,1
701,1
704,4
705,4
705,7
706,1
706,4
706,7
706,16
707,1
707,4
707,7
708,4
708,7
709,1
709,4
709,7
710,1
710,4
710,7
711,3
711,4
711,7
712,1
712,4
712,7
712,14
713,1
713,4
713,7
714,4
714,7
715,5
715,7
716,1
716,4
716,7
717,4
717,7
718,1
718,4
718,7
720,4
720,7
721,1
721,4
721,7
721,8
722,4
722,7
724,1
726,1
728,9
728,14
729,1
729,4
729,7
730,4
730,7
731,1
731,4
731,7
731,10
732,4
732,7
733,4
733,7
733,13
734,4
734,7
735,1
735,4
735,7
735,11
736,4
736,7
737,4
737,7
738,4
738,5
738,7
739,4
739,7
740,4
740,7
741,1
741,4
741,7
742,1
742,4
742,7
742,8
744,4
745,4
745,7
746,1
746,4
746,7
746,16
747,6
748,6
749,4
749,5
749,7
750,4
750,5
750,7
750,15
751,4
751,7
752,14
753,4
753,7
754,1
754,4
754,7
755,1
755,4
755,7
755,16
756,7
775,6
775,9
775,21
776,1
776,4
776,7
778,4
778,7
779,1
779,4
779,7
780,4
780,7
780,11
780,18
781,1
781,4
781,7
782,1
782,4
782,7
783,4
783,7
784,1
784,4
784,7
785,1
785,4
785,7
786,4
786,7
786,9
786,14
787,4
787,7
788,4
788,7
789,1
789,4
789,7
790,4
790,7
791,6
791,13
791,14
793,1
793,4
793,7
794,3
794,4
794,7
795,3
795,4
795,7
796,4
796,7
797,4
797,7
798,1
798,4
798,7
799,4
799,7
800,2
800,4
800,7
801,4
801,7
802,4
802,7
803,1
803,4
803,7
804,4
804,7
805,4
805,7
805,17
806,1
806,4
806,7
807,4
807,7
808,1
808,4
808,7
809,4
809,7
810,4
810,5
810,7
811,14
812,1
812,4
812,7
813,1
813,4
813,7
814,1
814,4
814,7
815,4
815,7
815,11
816,13
816,14
817,1
817,4
817,7
817,8
818,1
818,4
818,7
818,8
819,4
819,7
820,4
820,7
821,4
821,7
822,4
822,7
823,1
823,4
823,7
824,4
824,7
825,4
825,7
826,4
826,7
826,9
826,14
10001,1
10001,4
10002,4
10003,1
10003,4
10003,7
10004,4
10005,1
10005,4
10005,7
10006,4
10006,7
10007,1
10007,4
10007,7
10008,4
10008,7
10009,4
10009,7
10010,4
10011,4
10012,4
10012,7
10013,3
10013,4
10014,4
10014,7
10015,4
10015,7
10016,4
10016,7
10016,9
10017,4
10018,4
